,어휘,품사,뜻풀이,관련 어휘
16166,젊다,형용사,나이가 한창때에 있다.,참고 어휘 늙다
16169,젊디-젊다,형용사,매우 젊다.,
17269,점잖다,형용사,언행이나 태도가 의젓하고 신중하다.,참고 어휘 잠잖다
17418,점직-스럽다,형용사,보기에 부끄럽고 미안한 데가 있다.,
17420,점직-하다,형용사,부끄럽고 미안하다.,준말 점-하다
19848,정가-롭다,형용사,매우 정갈하다.,
19923,정갈-스럽다,형용사,보기에 깨끗하고 깔끔한 데가 있다.,비슷한말 정결-스럽다(淨潔스럽다)
19927,정갈-하다,형용사,깨끗하고 깔끔하다.,"비슷한말 결정-하다(潔淨하다), 정결-하다(淨潔하다)"
29180,젖버듬-하다,형용사,자빠질 듯이 뒤로 조금 기운 듯하다.,참고 어휘 잦바듬-하다
36197,조곤조곤-하다,형용사,성질이나 태도가 조금 은근하고 끈덕지다.,
36385,조그마-하다,형용사,조금 작거나 적다.,"준말 조그맣다
참고 어휘 자그마-하다, 조끄마-하다, 쪼그마-하다, 쪼끄마-하다"
37067,조랑조랑-하다,형용사,작은 열매 따위가 많이 매달려 있다.,비슷한말 조롱조롱-하다
37099,조러루-하다,형용사,대개 정도나 형편 따위가 조러하다.,"참고 어휘 고러루-하다, 그러루-하다, 요러루-하다, 이러루-하다, 저러루-하다"
37106,조러조러-하다,형용사,조러하고 조러하다.,"참고 어휘 고러고러-하다, 그러그러-하다, 요러요러-하다, 이러이러-하다, 저러저러-하다"
37109,조러-하다,형용사,‘조렇다’의 본말.,"준말 조렇다
참고 어휘 고러-하다, 그러-하다, 요러-하다, 이러-하다, 저러-하다"
37164,조련찮다,형용사,만만할 정도로 헐하거나 쉽지 아니하다.,
37165,조련-하다,형용사,만만할 정도로 헐하거나 쉽다.,
37321,조롱조롱-하다,형용사,작은 열매 따위가 많이 매달려 있다.,비슷한말 조랑조랑-하다
37440,조르르-하다,형용사,작은 것들이 한 줄로 고르게 잇따라 있다.,
37732,조릿조릿-하다,형용사,자꾸 조바심이 나서 마음을 놓을 수 없는 상태에 있다.,
37753,조마-롭다,형용사,매우 조마조마하거나 조마조마한 데가 있다.,
37760,조마-스럽다,형용사,일에 대하여 마음이 초조하고 불안한 느낌이 있다.,
37763,조마조마-하다,형용사,닥쳐올 일에 대하여 염려가 되어 마음이 불안하다.,
37810,조만조만-하다,형용사,조만한 정도로 여럿이 다 비슷비슷하다.,"참고 어휘 고만고만-하다, 그만그만-하다, 저만저만-하다"
37820,조만-하다,형용사,"상태, 모양, 성질 따위의 정도가 조러하다.","참고 어휘 고만-하다, 그만-하다, 요만-하다, 이만-하다, 저만-하다"
38478,조붓조붓-하다,형용사,조금 좁은 듯하게 연이어 있다.,
38479,조붓-하다,형용사,조금 좁은 듯하다.,
38536,조뼛조뼛-하다,형용사,물건의 끝이 다 차차 가늘어지면서 뾰족뾰족하게 솟아 있는 상태이다.,
38541,조뼛-하다,형용사,물건의 끝이 차차 가늘어지면서 뾰족하게 솟아 있는 상태이다.,
39749,조쌀-스럽다,형용사,늙었어도 얼굴이 깨끗하고 조촐한 데가 있다.,
39751,조쌀-하다,형용사,늙었어도 얼굴이 깨끗하고 맵시 있다.,
40163,조용조용-하다,형용사,말이나 행동이 한결같이 수선스럽지 않고 얌전하다.,
40167,조용-하다,형용사,아무런 소리도 들리지 않고 고요하다.,
40713,조잘조잘-하다,형용사,작은 끄나풀 같은 것이 어지럽게 달린 데가 있다.,
41954,조촐-하다,형용사,아담하고 깨끗하다.,비슷한말 조-하다
42337,조-하다,형용사,아담하고 깨끗하다.,비슷한말 조촐-하다
43479,존득존득-하다,형용사,음식물 따위가 검질겨서 매우 끈기 있고 졸깃졸깃하다.,
43480,존득-하다,형용사,음식물 따위가 검질겨서 끈기 있고 졸깃하다.,
43787,존존-하다,형용사,천을 짠 실의 가락 따위가 잘고 곱다.,참고 어휘 쫀쫀-하다
43949,졸깃졸깃-하다,형용사,씹히는 맛이 매우 차지고 질긴 듯하다.,
43950,졸깃-하다,형용사,씹히는 맛이 조금 차지고 질긴 듯한 느낌이 있다.,"참고 어휘 줄깃-하다, 쫄깃-하다"
43976,졸-되다,형용사,보기에 가냘프고 약하면서 졸망하다.,
43982,졸딱졸딱-하다,형용사,분량이나 규모 따위가 매우 작고 옹졸하다.,
44061,졸리다,형용사,자고 싶은 느낌이 있다.,
44085,졸막졸막-하다,형용사,여러 개의 작은 사물이 고르지 않게 뒤섞여 있는 상태이다.,
