,어휘,품사,뜻풀이,관련 어휘
814,적-히다,동사,다른 사람에게 자신의 잘못이 드러나 이름 따위가 명부에 오르다.,
11040,전주르다,동사,동작을 진행하다가 다음 동작에 힘을 더하기 위하여 한 번 쉬다.,
13658,절거덕-거리다,동사,크고 단단한 물체가 맞부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절걱-거리다
비슷한말 절거덕-대다, 절거덕절거덕-하다
참고 어휘 잘가닥-거리다, 절꺼덕-거리다, 절커덕-거리다, 쩔거덕-거리다, 쩔꺼덕-거리다, 철거덕-거리다, 철커덕-거리다"
13662,절거덕-대다,동사,크고 단단한 물체가 맞부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절걱-대다
비슷한말 절거덕-거리다, 절거덕절거덕-하다
참고 어휘 잘가닥-대다, 절꺼덕-대다, 절커덕-대다, 쩔거덕-대다, 쩔꺼덕-대다, 철거덕-대다, 철커덕-대다"
13670,절거덕절거덕-하다,동사,크고 단단한 물체가 자꾸 맞부딪치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절걱절걱-하다
비슷한말 절거덕-거리다, 절거덕-대다
참고 어휘 잘가닥잘가닥-하다, 절꺼덕절꺼덕-하다, 절커덕절커덕-하다, 쩔거덕쩔거덕-하다, 쩔꺼덕쩔꺼덕-하다, 쩔커덕쩔커덕-하다, 철거덕철거덕-하다, 철꺼덕철꺼덕-하다, 철커덕철커덕-하다"
13674,절거덕-하다,동사,크고 단단한 물체가 맞부딪치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절걱-하다
참고 어휘 잘가닥-하다, 절꺼덕-하다, 절커덕-하다, 쩔거덕-하다, 쩔꺼덕-하다, 쩔커덕-하다, 철거덕-하다, 철꺼덕-하다, 철커덕-하다"
13679,절거덩-거리다,동사,크고 단단한 쇠붙이 따위가 맞부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절겅-거리다
비슷한말 절거덩-대다, 절거덩절거덩-하다
참고 어휘 잘가당-거리다, 절꺼덩-거리다, 절커덩-거리다, 쩔거덩-거리다, 쩔꺼덩-거리다, 철거덩-거리다, 철커덩-거리다"
13680,절거덩-대다,동사,크고 단단한 쇠붙이 따위가 맞부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절겅-대다
비슷한말 절거덩-거리다, 절거덩절거덩-하다
참고 어휘 잘가당-대다, 절꺼덩-대다, 절커덩-대다, 쩔거덩-대다, 쩔꺼덩-대다, 쩔커덩-대다, 철거덩-대다, 철꺼덩-대다, 철커덩-대다"
13682,절거덩절거덩-하다,동사,크고 단단한 쇠붙이 따위가 자꾸 맞부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,"준말 절겅절겅-하다
비슷한말 절거덩-거리다, 절거덩-대다
참고 어휘 잘가당잘가당-하다, 절꺼덩절꺼덩-하다, 절커덩절커덩-하다, 쩔거덩쩔거덩-하다, 쩔꺼덩쩔꺼덩-하다, 쩔커덩쩔커덩-하다, 철거덩철거덩-하다, 철꺼덩철꺼덩-하다, 철커덩철커덩-하다"
13683,절거덩-하다,동사,크고 단단한 쇠붙이 따위가 맞부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,"준말 절겅-하다
참고 어휘 잘가당-하다, 절꺼덩-하다, 절커덩-하다, 쩔거덩-하다, 쩔꺼덩-하다, 쩔커덩-하다, 철거덩-하다, 철꺼덩-하다, 철커덩-하다"
13697,절걱-이다,동사,크고 단단한 물체가 맞부딪치는 소리가 나다. 또는 그런 소리를 내다.,
13721,절겅-이다,동사,크고 단단한 쇠붙이 따위가 맞부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,
13766,절골-되다,동사,뼈가 부러지다.,
13769,절골-하다,동사,뼈가 부러지다.,
13818,절구질-하다,동사,절구에 곡식 따위를 넣고 빻거나 찧다.,
13873,절그럭-거리다,동사,얇은 쇠붙이 따위가 떨어지거나 맞부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"비슷한말 절그럭-대다, 절그럭절그럭-하다"
13874,절그럭-대다,동사,얇은 쇠붙이 따위가 떨어지거나 맞부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,비슷한말 절그럭-거리다
13876,절그럭절그럭-하다,동사,얇은 쇠붙이 따위가 잇따라 떨어지거나 맞부딪치는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 절그럭-거리다
13877,절그럭-하다,동사,얇은 쇠붙이 따위가 떨어지거나 맞부딪치는 소리가 나다. 또는 그런 소리를 내다.,
13879,절그렁-거리다,동사,크고 얇은 쇠붙이 따위가 떨어지거나 맞부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"비슷한말 절그렁-대다, 절그렁절그렁-하다"
13880,절그렁-대다,동사,크고 얇은 쇠붙이 따위가 떨어지거나 맞부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,비슷한말 절그렁-거리다
13882,절그렁절그렁-하다,동사,크고 얇은 쇠붙이 따위가 자꾸 떨어지거나 맞부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 절그렁-거리다
13883,절그렁-하다,동사,크고 얇은 쇠붙이 따위가 떨어지거나 맞부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,
14027,절다,동사,"푸성귀나 생선 따위에 소금기나 식초, 설탕 따위가 배어들다.",
14610,절뚝-거리다,동사,한쪽 다리가 짧거나 탈이 나서 자꾸 뒤뚝뒤뚝 절다.,"비슷한말 절뚝-대다, 절뚝절뚝-하다
참고 어휘 잘똑-거리다, 쩔뚝-거리다"
14612,절뚝-대다,동사,한쪽 다리가 짧거나 탈이 나서 자꾸 뒤뚝뒤뚝 절다.,비슷한말 절뚝-거리다
14617,절뚝-이다,동사,한쪽 다리가 짧거나 탈이 나서 뒤뚝뒤뚝 절다.,
14619,절뚝절뚝-하다,동사,한쪽 다리가 짧거나 탈이 나서 뒤뚝뒤뚝 자꾸 절다.,비슷한말 절뚝-거리다
14660,절렁-거리다,동사,큰 방울이나 얇은 쇠붙이 따위가 흔들리거나 부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"비슷한말 절렁-대다, 절렁절렁-하다"
14661,절렁-대다,동사,큰 방울이나 얇은 쇠붙이 따위가 흔들리거나 부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,비슷한말 절렁-거리다
14662,절렁-이다,동사,큰 방울이나 얇은 쇠붙이 따위가 부딪치거나 흔들려 울리는 소리가 나다. 또는 그런 소리를 내다.,
14664,절렁절렁-하다,동사,큰 방울이나 얇은 쇠붙이 따위가 자꾸 흔들리거나 부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 절렁-거리다
14666,절렁-하다,동사,큰 방울이나 얇은 쇠붙이 따위가 흔들리거나 부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,
14673,절레절레-하다,동사,머리를 좌우로 자꾸 흔들다.,비슷한말 절절-하다
14705,절룩-거리다,동사,걸을 때에 자꾸 다리를 몹시 절다.,"비슷한말 절룩-대다, 절룩절룩-하다
참고 어휘 잘록-거리다, 쩔룩-거리다"
14706,절룩-대다,동사,걸을 때에 자꾸 다리를 몹시 절다.,비슷한말 절룩-거리다
14708,절룩-이다,동사,걸을 때에 다리를 몹시 절다.,
14710,절룩절룩-하다,동사,걸을 때에 잇따라 다리를 몹시 절다.,비슷한말 절룩-거리다
14724,절름-거리다,동사,한쪽 다리가 짧거나 다치거나 하여 걷거나 뛸 때 몸이 한쪽으로 자꾸 거볍게 기우뚱하다.,"비슷한말 기둥-팔리다, 절름-대다, 절름절름-하다
참고 어휘 잘름-거리다, 쩔름-거리다"
14725,절름-대다,동사,한쪽 다리가 짧거나 다치거나 하여 걷거나 뛸 때 몸이 한쪽으로 자꾸 거볍게 기우뚱하다.,비슷한말 절름-거리다
14738,절름절름-하다,동사,한쪽 다리가 짧거나 다치거나 하여 걷거나 뛸 때 자꾸 몸이 한쪽으로 거볍게 기우뚱하다.,비슷한말 절름-거리다
14877,절버덕-거리다,동사,옅은 물이나 진창을 거칠게 밟거나 치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절벅-거리다
비슷한말 절버덕-대다, 절버덕절버덕-하다
참고 어휘 잘바닥-거리다, 절퍼덕-거리다, 철버덕-거리다, 철퍼덕-거리다"
14878,절버덕-대다,동사,옅은 물이나 진창을 거칠게 밟거나 치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절벅-대다
비슷한말 절버덕-거리다, 절버덕절버덕-하다
참고 어휘 잘바닥-대다, 절퍼덕-대다, 철버덕-대다, 철퍼덕-대다"
14880,절버덕절버덕-하다,동사,옅은 물이나 진창을 자꾸 거칠게 밟거나 치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절벅절벅-하다
비슷한말 절버덕-거리다, 절버덕-대다
참고 어휘 잘바닥잘바닥-하다, 절퍼덕절퍼덕-하다, 철버덕철버덕-하다, 철퍼덕철퍼덕-하다"
14881,절버덕-하다,동사,옅은 물이나 진창을 거칠게 밟거나 치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절벅-하다
참고 어휘 잘바닥-하다, 절퍼덕-하다, 철버덕-하다, 철퍼덕-하다"
14883,절버덩-거리다,동사,묵직한 물체가 물에 거칠게 부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절벙-거리다
비슷한말 절버덩-대다, 절버덩절버덩-하다
참고 어휘 잘바당-거리다, 철버덩-거리다"
14884,절버덩-대다,동사,묵직한 물체가 물에 거칠게 부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절벙-대다
비슷한말 절버덩-거리다, 절버덩절버덩-하다
참고 어휘 잘바당-대다, 철버덩-대다"
14886,절버덩절버덩-하다,동사,묵직한 물체가 물에 자꾸 거칠게 부딪치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절벙절벙-하다
비슷한말 절버덩-거리다, 절버덩-대다
참고 어휘 잘바당잘바당-하다, 철버덩철버덩-하다"
14887,절버덩-하다,동사,묵직한 물체가 물에 거칠게 부딪치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절벙-하다
참고 어휘 잘바당-하다, 철버덩-하다"
14892,절벅-이다,동사,옅은 물이나 진창을 거칠게 밟거나 치는 소리가 나다. 또는 그런 소리를 내다.,
14901,절벙-이다,동사,묵직한 물체가 물에 부딪치는 소리가 나다. 또는 그런 소리를 내다.,
15159,절써덕-거리다,동사,아주 많은 양의 액체가 단단한 물체에 마구 부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절썩-거리다
비슷한말 절써덕-대다, 절써덕절써덕-하다
참고 어휘 잘싸닥-거리다, 철써덕-거리다"
15161,절써덕-대다,동사,아주 많은 양의 액체가 단단한 물체에 마구 부딪치는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"준말 절썩-대다
비슷한말 절써덕-거리다, 절써덕절써덕-하다
참고 어휘 잘싸닥-대다, 철써덕-대다"
15165,절써덕절써덕-하다,동사,아주 많은 양의 액체가 자꾸 단단한 물체에 마구 부딪치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절썩절썩-하다
비슷한말 절써덕-거리다, 절써덕-대다
참고 어휘 잘싸닥잘싸닥-하다, 철써덕철써덕-하다"
15167,절써덕-하다,동사,아주 많은 양의 액체가 단단한 물체에 마구 부딪치는 소리가 나다. 또는 그런 소리를 내다.,"준말 절썩-하다
참고 어휘 잘싸닥-하다, 철써덕-하다"
15176,절썩-이다,동사,아주 많은 양의 액체가 단단한 물체에 마구 부딪치는 소리가 나다. 또는 그런 소리를 내다.,
15185,절쑥-거리다,동사,걸을 때 약간 절뚝거리다.,"비슷한말 절쑥-대다, 절쑥절쑥-하다
참고 어휘 잘쏙-거리다, 쩔쑥-거리다"
15186,절쑥-대다,동사,걸을 때 약간 절뚝거리다.,비슷한말 절쑥-거리다
15188,절쑥절쑥-하다,동사,걸을 때 조금 절뚝거리다.,비슷한말 절쑥-거리다
15511,절절-거리다,동사,주책없이 자꾸 이리저리 바삐 쏘다니다.,비슷한말 절절-대다
15516,절절-대다,동사,주책없이 자꾸 이리저리 바삐 쏘다니다.,비슷한말 절절-거리다
15519,절절-매다,동사,어찌할 줄 몰라서 정신을 못 차리다.,"참고 어휘 잘잘-매다, 쩔쩔-매다"
15521,절절-하다,동사,머리를 좌우로 자꾸 흔들다.,비슷한말 절레절레-하다
16003,절퍼덕-거리다,동사,힘없이 넘어지거나 주저앉는 소리가 자꾸 나다.,"준말 절퍽-거리다
비슷한말 절퍼덕-대다, 절퍼덕절퍼덕-하다
참고 어휘 잘파닥-거리다, 철퍼덕-거리다"
16005,절퍼덕-대다,동사,힘없이 넘어지거나 주저앉는 소리가 자꾸 나다.,"준말 절퍽-대다
비슷한말 절퍼덕-거리다, 절퍼덕절퍼덕-하다
참고 어휘 잘파닥-대다, 철퍼덕-대다"
16009,절퍼덕절퍼덕-하다,동사,여럿이 다 힘없이 넘어지거나 주저앉는 소리가 나다.,"준말 절퍽절퍽-하다
비슷한말 절퍼덕-거리다, 절퍼덕-대다
참고 어휘 잘파닥잘파닥-하다, 철퍼덕철퍼덕-하다"
16011,절퍼덕-하다,동사,힘없이 넘어지거나 주저앉는 소리가 나다.,"준말 절퍽-하다
참고 어휘 잘파닥-하다, 철퍼덕-하다"
16064,절-하다,동사,공경하는 뜻으로 몸을 굽히다.,
16176,젊어-지다,동사,한창때의 나이로 돌아가다.,
16702,점벙-거리다,동사,큰 물체가 물에 부딪치거나 잠기는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"비슷한말 점벙-대다, 점벙점벙-하다"
16703,점벙-대다,동사,큰 물체가 물에 부딪치거나 잠기는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,비슷한말 점벙-거리다
16704,점벙-이다,동사,큰 물체가 물에 잠기거나 부딪치는 소리가 나다. 또는 그런 소리를 내다.,
16706,점벙점벙-하다,동사,큰 물체가 물에 자꾸 부딪치거나 잠기는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 점벙-거리다
16707,점벙-하다,동사,큰 물체가 물에 부딪치거나 잠기는 소리가 나다. 또는 그런 소리를 내다.,
17414,점지-하다,동사,신불이 사람에게 자식을 갖게 하여 주다.,비슷한말 점수-하다(點授하다)
17905,접-개다,동사,접어서 개다.,
18174,접다,동사,천이나 종이 따위를 꺾어서 겹치다.,
18730,접어-놓다,동사,제쳐 놓고 관심을 두지 아니하다.,
18732,접어-들다,동사,일정한 때나 기간에 이르다.,참고 어휘 잡아-들다
18744,접어-주다,동사,다소 불리한 조건에 놓인 사람이나 사물에 대하여 얼마쯤 너그럽게 대하다.,
19111,접-질리다,동사,심한 충격으로 지나치게 접혀서 삔 지경에 이르다.,참고 어휘 겹-질리다
19198,접첨접첨-하다,동사,여러 번 접어서 포개다.,
19199,접첨-하다,동사,접어서 포개다.,
19447,접-치다,동사,‘접다’를 강조하여 이르는 말.,
19461,접침접침-하다,동사,이리저리 여러 겹으로 접다.,
19651,젓가락질-하다,동사,"젓가락으로 음식을 집어 먹거나, 물건 따위를 집다.",
19682,젓개질-하다,동사,액체나 가루 따위를 식히거나 섞기 위하여 휘젓다.,
19709,젓다,동사,액체나 가루 따위가 고르게 섞이도록 손이나 기구 따위를 내용물에 넣고 이리저리 돌리다.,
19749,젓수다,동사,"궁중에서, ‘잡수다’를 이르던 말.",
19854,정가-하다,동사,지나간 허물을 들추어 흉보다.,
27380,정질-하다,동사,정으로 돌을 쪼거나 다듬다.,
29091,젖다,동사,물이 배어 축축하게 되다.,
29114,젖동냥-하다,동사,젖먹이를 기르기 위하여 남의 집으로 젖을 얻으러 다니다.,
29128,젖-뜨리다,동사,힘을 주어 뒤로 기울이다.,"비슷한말 젖-트리다
참고 어휘 잦-뜨리다, 잦-트리다"
29162,젖몸살-하다,동사,젖의 분비로 생기는 몸살을 앓다.,
29213,젖-빌다,동사,젖이 모자라는 산모가 약수터나 삼신 앞에서 젖이 많이 나게 해 달라고 빌다.,참고 어휘 젖-병(젖甁)
29293,젖앓이-하다,동사,젖병을 앓다.,
29300,젖어-오르다,동사,눈물이 겉으로 괴어 오르다.,
29362,젖-트리다,동사,힘을 주어 뒤로 기울이다.,비슷한말 젖-뜨리다
29368,젖혀-지다,동사,뒤로 기울어지다.,참고 어휘 잦혀-지다
29379,젖-히다,동사,안쪽이 겉으로 나오게 하다.,참고 어휘 잦-히다
29609,제겨-내다,동사,"돈치기할 때, 지정한 돈을 꼭 맞혀 내다.",
29612,제겨-디디다,동사,발끝이나 발뒤꿈치만으로 땅을 디디다.,
29614,제겨-잇다,동사,두 끈의 끝을 서로 어긋 매겨 대고 한끝씩 꼬부리어 옭매어 잇다.,
29681,제곱-하다,동사,같은 수를 두 번 곱하다.,"비슷한말 두제곱-하다, 승-하다(乘하다), 자승-하다(自乘하다)"
29777,제구실-하다,동사,마땅히 해야 할 일이나 책임을 다하다.,
29892,제기다,동사,있던 자리에서 빠져 달아나다.,
29920,제기차기-하다,동사,제기를 차면서 노는 놀이를 하다.,
29922,제기-하다,동사,제기를 차며 놀다.,
